,time,tx_count
1630,2013-06-26 00:00:00+00:00,45627
1631,2013-06-27 00:00:00+00:00,46128
1632,2013-06-28 00:00:00+00:00,49552
1633,2013-06-29 00:00:00+00:00,36545
1634,2013-06-30 00:00:00+00:00,30953
1635,2013-07-01 00:00:00+00:00,39128
1636,2013-07-02 00:00:00+00:00,39650
1637,2013-07-03 00:00:00+00:00,35531
1638,2013-07-04 00:00:00+00:00,35292
1639,2013-07-05 00:00:00+00:00,37037
1640,2013-07-06 00:00:00+00:00,33372
1641,2013-07-07 00:00:00+00:00,30356
1642,2013-07-08 00:00:00+00:00,39629
1643,2013-07-09 00:00:00+00:00,40832
1644,2013-07-10 00:00:00+00:00,39238
1645,2013-07-11 00:00:00+00:00,43434
1646,2013-07-12 00:00:00+00:00,48260
1647,2013-07-13 00:00:00+00:00,37970
1648,2013-07-14 00:00:00+00:00,34933
1649,2013-07-15 00:00:00+00:00,36754
1650,2013-07-16 00:00:00+00:00,39392
1651,2013-07-17 00:00:00+00:00,40643
1652,2013-07-18 00:00:00+00:00,41170
1653,2013-07-19 00:00:00+00:00,36759
1654,2013-07-20 00:00:00+00:00,33702
1655,2013-07-21 00:00:00+00:00,35456
1656,2013-07-22 00:00:00+00:00,39979
1657,2013-07-23 00:00:00+00:00,38432
1658,2013-07-24 00:00:00+00:00,42361
1659,2013-07-25 00:00:00+00:00,42530
1660,2013-07-26 00:00:00+00:00,37373
1661,2013-07-27 00:00:00+00:00,36892
1662,2013-07-28 00:00:00+00:00,37302
1663,2013-07-29 00:00:00+00:00,41812
1664,2013-07-30 00:00:00+00:00,42133
1665,2013-07-31 00:00:00+00:00,49524
1666,2013-08-01 00:00:00+00:00,50904
1667,2013-08-02 00:00:00+00:00,51681
1668,2013-08-03 00:00:00+00:00,45746
1669,2013-08-04 00:00:00+00:00,42946
1670,2013-08-05 00:00:00+00:00,51001
1671,2013-08-06 00:00:00+00:00,54369
1672,2013-08-07 00:00:00+00:00,57606
1673,2013-08-08 00:00:00+00:00,58022
1674,2013-08-09 00:00:00+00:00,49658
1675,2013-08-10 00:00:00+00:00,51695
1676,2013-08-11 00:00:00+00:00,38422
1677,2013-08-12 00:00:00+00:00,50228
1678,2013-08-13 00:00:00+00:00,53080
1679,2013-08-14 00:00:00+00:00,51660
1680,2013-08-15 00:00:00+00:00,58129
1681,2013-08-16 00:00:00+00:00,71119
1682,2013-08-17 00:00:00+00:00,56546
1683,2013-08-18 00:00:00+00:00,56397
1684,2013-08-19 00:00:00+00:00,71314
1685,2013-08-20 00:00:00+00:00,63228
1686,2013-08-21 00:00:00+00:00,60531
1687,2013-08-22 00:00:00+00:00,66812
1688,2013-08-23 00:00:00+00:00,55195
1689,2013-08-24 00:00:00+00:00,51817
1690,2013-08-25 00:00:00+00:00,44447
1691,2013-08-26 00:00:00+00:00,56093
1692,2013-08-27 00:00:00+00:00,62187
1693,2013-08-28 00:00:00+00:00,64747
1694,2013-08-29 00:00:00+00:00,58992
1695,2013-08-30 00:00:00+00:00,62603
1696,2013-08-31 00:00:00+00:00,47505
1697,2013-09-01 00:00:00+00:00,46598
1698,2013-09-02 00:00:00+00:00,51266
1699,2013-09-03 00:00:00+00:00,52163
1700,2013-09-04 00:00:00+00:00,52979
1701,2013-09-05 00:00:00+00:00,60730
1702,2013-09-06 00:00:00+00:00,60850
1703,2013-09-07 00:00:00+00:00,51967
1704,2013-09-08 00:00:00+00:00,46452
